cpu,memory,disk,network_in,network_out,label
32.59,35.75,41.95,445.28,130.65,0
27.87,56.48,45.99,448.53,397.93,0
34.01,41.01,35.2,42.75,153.39,0
47.52,51.22,15.0,29.95,65.17,0
68.36,43.33,43.6,613.95,295.71,0
22.73,50.87,50.87,259.46,177.57,0
47.7,33.59,55.57,3013.0,98.63,0
49.58,60.5,55.41,1804.15,656.64,0
41.14,54.28,34.26,384.51,1314.88,0
32.69,55.1,47.64,221.98,583.75,0
11.66,48.56,47.36,267.5,126.72,0
34.19,59.75,42.93,306.56,412.84,0
18.63,25.81,40.65,64.47,349.01,0
38.15,53.26,42.87,515.77,249.45,0
39.99,58.86,29.13,72.64,114.45,0
65.18,43.3,43.45,408.38,1224.26,0
33.93,44.55,51.74,8.77,109.94,0
32.41,62.26,37.87,400.0,1107.51,0
5.0,40.62,37.33,41.12,9.77,0
5.0,44.38,25.5,129.88,860.3,0
51.22,37.43,43.09,3940.0,67.96,0
33.81,33.9,56.83,4000.0,507.78,0
47.03,40.57,52.96,872.25,459.6,0
45.11,34.06,41.73,1057.23,512.95,0
67.73,45.03,43.53,846.45,352.17,0
38.75,45.53,33.04,642.18,92.06,0
88.99,93.37,81.68,6216.04,3320.25,1
60.88,41.33,35.5,59.8,120.49,0
45.86,44.76,52.84,2171.43,364.01,0
54.39,44.19,34.35,959.49,95.05,0
55.46,50.79,43.82,549.94,865.8,0
51.74,47.96,26.82,301.52,713.87,0
55.09,30.21,21.81,2073.87,63.69,0
28.41,52.35,65.0,98.58,595.18,0
27.5,65.68,36.79,2093.55,46.32,0
14.75,41.39,42.99,1642.95,346.53,0
38.6,26.96,44.64,505.54,202.1,0
35.44,48.9,33.4,4000.0,458.64,0
24.33,38.39,28.47,782.58,369.69,0
45.42,21.23,18.71,726.71,290.73,0
20.64,53.26,23.4,206.23,25.55,0
26.78,58.46,58.55,699.28,2000.0,0
43.65,41.38,41.56,4000.0,201.46,0
61.7,47.63,39.0,532.75,712.53,0
34.89,54.92,37.18,90.92,197.3,0
96.26,53.31,38.14,1576.96,509.45,1
97.24,87.83,97.93,6328.17,3061.89,1
22.48,40.26,38.18,4000.0,398.84,0
22.16,62.9,30.1,195.7,39.59,0
64.44,45.17,15.0,403.01,43.37,0
48.34,43.82,19.73,343.52,414.0,0
40.27,50.98,62.35,2.9,93.52,0
92.72,32.74,38.14,270.07,287.59,1
33.97,52.28,32.86,277.16,373.07,0
52.79,55.05,48.4,1057.06,11.15,0
33.82,27.59,24.85,174.14,634.65,0
63.9,65.59,51.98,1095.71,408.41,0
33.12,59.62,28.67,95.48,479.31,0
32.67,28.5,43.68,203.04,1431.76,0
43.36,49.57,49.84,631.33,1632.8,0
42.76,49.79,44.91,285.37,104.3,0
46.82,24.31,41.9,1211.17,603.97,0
47.1,25.59,46.1,555.6,1097.84,0
30.26,37.74,52.97,264.62,1150.33,0
52.39,44.3,37.87,189.61,1453.45,0
34.79,24.95,37.29,34.38,398.46,0
28.76,49.86,35.12,335.61,316.37,0
25.72,40.22,47.47,209.28,345.58,0
56.65,28.2,55.5,3240.47,280.17,0
34.18,46.67,65.0,724.18,25.12,0
32.74,52.57,52.15,1290.32,130.73,0
38.34,48.17,34.21,818.22,251.92,0
75.0,66.67,43.97,161.86,934.88,0
10.19,62.74,29.6,100.63,279.57,0
23.84,44.89,51.11,754.9,178.38,0
53.78,51.97,35.24,411.09,686.99,0
47.04,39.0,15.4,67.92,456.05,0
32.75,27.88,31.22,605.39,137.39,0
36.7,33.08,58.49,145.92,1369.7,0
31.23,34.18,40.72,2088.06,0.1,0
51.3,30.82,59.17,76.44,681.63,0
29.45,41.17,49.33,432.49,492.02,0
47.27,26.18,54.94,552.28,717.7,0
33.03,57.39,40.13,261.37,164.79,0
27.52,45.2,56.72,31.28,292.54,0
62.15,52.9,42.82,360.46,193.66,0
46.87,37.61,41.07,50.38,129.4,0
42.72,53.15,48.18,1145.1,343.44,0
40.89,33.7,51.11,75.02,989.79,0
24.98,55.36,26.88,331.89,163.03,0
28.11,43.78,56.86,359.25,89.18,0
49.19,42.65,39.07,50.24,191.83,0
29.84,59.32,38.5,21.32,211.75,0
38.03,35.73,43.09,284.58,190.73,0
51.05,44.74,50.69,421.26,46.93,0
40.11,40.73,60.55,2901.55,195.98,0
46.41,33.08,37.87,702.16,155.56,0
33.42,95.92,31.24,1775.12,453.38,1
18.51,65.96,34.17,1164.61,1079.62,0
37.14,37.18,40.87,157.57,797.66,0
35.62,45.17,39.17,103.55,85.27,0
15.08,61.7,38.52,1361.68,1170.86,0
68.45,43.19,41.17,176.12,41.31,0
60.99,57.38,50.03,685.66,480.07,0
68.56,53.44,29.85,592.6,54.23,0
29.04,66.69,49.55,184.7,596.65,0
38.52,53.14,27.7,1587.99,97.16,0
38.66,41.72,39.76,1452.07,208.75,0
28.58,24.13,30.55,897.28,1345.52,0
51.53,42.26,40.81,341.94,93.37,0
27.86,27.28,38.79,2154.05,586.84,0
44.18,43.86,41.92,1183.7,154.21,0
33.11,37.27,48.26,661.04,160.4,0
63.98,31.49,42.79,174.83,150.2,0
57.06,57.39,24.98,391.81,33.25,0
32.06,56.95,51.5,1981.14,30.85,0
44.89,40.2,53.78,487.4,240.84,0
45.73,43.86,53.23,1284.69,660.45,0
17.73,45.91,35.43,343.14,236.47,0
53.45,19.72,55.68,265.15,476.39,0
13.59,28.12,28.99,745.82,785.0,0
38.55,32.57,61.16,502.81,2000.0,0
64.24,41.49,58.45,365.25,725.57,0
42.62,45.55,38.93,749.34,1054.51,0
23.16,27.08,31.71,627.84,817.18,0
64.11,41.63,52.76,34.34,22.79,0
50.99,45.87,34.03,70.38,331.5,0
94.32,59.07,20.33,211.56,73.16,1
24.07,49.71,31.45,226.75,392.16,0
59.13,69.45,33.31,898.56,186.37,0
46.54,46.4,55.98,1838.76,353.21,0
46.42,50.15,49.09,492.81,267.03,0
58.32,40.82,53.16,157.74,227.85,0
45.26,59.29,46.04,323.1,774.15,0
37.06,49.7,39.43,643.03,327.72,0
54.81,39.2,65.0,53.97,314.34,0
17.45,58.46,46.44,237.63,638.56,0
56.24,41.25,46.5,1207.22,116.17,0
18.28,41.7,48.88,570.48,108.08,0
33.8,51.87,44.55,897.82,151.14,0
57.69,38.16,48.55,566.67,211.15,0
61.37,31.85,52.29,528.14,397.64,0
14.73,44.64,38.7,2358.51,495.48,0
33.6,27.74,42.17,1416.09,604.6,0
37.4,52.09,51.85,52.15,47.91,0
47.11,70.0,33.77,1766.96,17.39,0
60.34,42.54,39.48,4000.0,1179.98,0
36.69,44.75,32.91,221.48,12.01,0
34.86,39.5,35.12,788.33,25.52,0
34.4,44.5,37.56,294.83,215.09,0
36.63,34.58,47.23,2.2,163.99,0
52.31,44.64,46.19,13.4,189.36,0
29.71,35.45,31.52,67.24,1540.61,0
30.53,52.29,40.77,174.24,110.98,0
27.35,49.96,47.25,141.52,24.66,0
5.0,47.77,30.09,1092.41,883.08,0
31.63,49.26,51.69,2363.1,126.01,0
63.27,40.41,52.72,127.0,2000.0,0
43.6,90.02,43.28,1937.41,1419.02,1
46.85,52.23,42.24,142.41,1046.22,0
25.4,38.62,28.26,999.09,358.79,0
67.47,46.79,36.41,631.1,302.55,0
5.47,49.58,40.93,1186.01,396.45,0
23.78,41.58,48.53,643.63,125.18,0
47.3,60.67,56.04,2382.82,1009.5,0
40.43,46.22,46.18,1273.28,314.08,0
8.65,26.22,36.5,486.85,821.54,0
64.83,45.13,44.83,150.45,323.32,0
41.29,66.39,44.86,1728.32,302.29,0
18.28,46.24,28.34,693.29,47.72,0
11.6,53.49,40.16,486.02,37.99,0
34.17,32.21,34.41,1702.29,355.61,0
43.51,49.31,50.2,2027.36,513.55,0
36.88,63.88,30.01,430.96,28.84,0
33.18,30.49,46.4,847.47,179.84,0
39.23,52.81,33.62,956.53,41.02,0
52.58,50.23,58.34,205.82,131.0,0
42.87,34.04,36.69,90.12,80.96,0
29.53,64.27,58.32,397.02,737.46,0
57.54,26.76,45.25,151.83,164.4,0
37.14,50.34,52.75,931.42,14.69,0
62.07,42.94,28.9,115.03,536.56,0
38.36,50.4,37.21,556.74,28.33,0
45.2,34.77,31.45,1008.51,973.78,0
50.59,46.05,19.47,1403.47,29.12,0
24.13,51.46,34.59,2180.02,385.4,0
30.43,33.94,37.18,139.08,339.84,0
16.35,63.39,34.12,215.1,239.77,0
59.82,31.55,53.35,94.02,158.96,0
48.07,31.36,41.84,202.57,13.56,0
14.35,65.67,20.22,103.56,51.7,0
35.45,57.22,30.82,443.94,35.5,0
15.53,49.66,33.25,23.91,42.64,0
43.95,63.03,59.62,249.1,374.44,0
69.65,34.75,46.49,1078.78,753.25,0
62.13,49.51,24.75,827.44,135.37,0
38.03,68.9,34.54,479.56,464.9,0
21.13,55.32,34.85,66.1,24.69,0
42.46,49.6,55.21,490.38,1473.9,0
38.67,36.51,36.13,1710.44,244.51,0
21.56,51.2,44.41,210.27,276.04,0
48.79,19.62,31.79,318.63,418.67,0
26.3,98.91,53.79,240.15,98.86,1
53.31,33.33,58.97,423.93,253.78,0
45.27,53.31,43.34,993.37,727.37,0
38.39,40.13,35.27,1009.84,361.58,0
41.85,70.0,32.96,474.14,327.24,0
5.0,52.48,34.12,255.29,120.1,0
37.91,49.2,42.37,421.51,93.37,0
34.22,45.95,51.9,1167.92,84.29,0
69.3,49.22,50.67,90.53,555.21,0
53.77,38.54,49.94,14.23,252.67,0
23.33,39.78,61.06,1983.78,191.04,0
32.48,38.75,37.16,155.66,247.65,0
58.92,36.84,62.45,1975.19,31.82,0
47.84,47.99,45.55,428.2,941.1,0
23.83,49.99,40.87,354.41,74.04,0
75.0,48.11,37.87,125.78,78.59,0
47.1,51.11,30.65,111.03,1768.18,0
43.96,33.85,27.19,222.43,574.72,0
48.02,48.17,25.05,1498.94,251.99,0
37.09,49.86,34.79,641.54,608.29,0
16.86,52.76,44.42,878.38,14.62,0
59.67,61.51,34.11,553.66,571.73,0
44.99,28.2,49.12,175.58,137.62,0
25.16,48.93,53.0,744.83,78.28,0
28.91,50.56,41.29,91.55,231.1,0
41.7,16.46,36.86,362.29,119.26,0
39.17,44.28,33.41,886.44,95.91,0
32.0,52.12,56.68,314.82,1045.84,0
44.84,90.73,37.73,4000.0,723.69,1
37.99,35.09,44.21,240.53,114.69,0
68.27,40.93,42.9,299.85,1269.47,0
44.61,54.11,55.75,216.6,326.34,0
10.07,21.89,48.6,18.0,163.52,0
38.02,46.29,39.22,1442.6,734.09,0
43.37,54.84,41.64,197.57,43.68,0
49.3,40.75,44.77,1164.7,344.73,0
50.67,38.68,40.03,1030.11,655.34,0
18.67,44.01,32.29,100.06,423.92,0
23.65,39.29,41.81,137.3,259.78,0
31.04,55.36,36.68,186.08,560.25,0
38.65,61.42,42.89,109.6,270.08,0
62.2,57.26,40.85,105.63,104.99,0
34.95,31.82,53.88,833.17,613.05,0
23.01,45.28,60.03,969.47,243.55,0
45.6,54.56,55.59,581.79,232.03,0
43.6,55.41,58.68,1278.76,46.03,0
41.66,31.55,53.74,407.4,292.96,0
37.21,27.49,38.75,1637.28,100.02,0
30.99,44.39,39.08,3317.01,163.79,0
31.27,60.99,36.46,1404.52,52.16,0
53.56,37.53,52.96,202.6,443.36,0
46.38,29.48,39.54,387.84,142.82,0
60.74,98.97,38.66,154.53,698.48,1
68.29,32.64,45.63,866.23,290.08,0
42.65,62.17,33.94,1222.0,123.18,0
75.0,44.98,40.32,967.66,594.25,0
32.82,35.13,42.08,926.88,762.54,0
37.26,29.53,21.44,613.35,970.32,0
31.01,40.23,39.21,1241.48,489.16,0
46.84,55.53,36.33,1008.57,28.96,0
33.53,31.5,46.1,100.94,792.17,0
42.08,43.58,46.97,2459.31,441.68,0
32.04,41.08,52.24,231.49,3.91,0
60.7,34.67,61.71,37.05,727.97,0
37.95,60.41,34.25,1685.91,636.55,0
29.0,20.13,40.07,1013.37,144.6,0
19.72,30.2,51.0,374.34,110.2,0
32.89,37.4,38.19,2248.42,302.47,0
24.25,25.17,50.57,524.87,29.36,0
41.88,38.37,49.07,42.18,962.6,0
49.44,60.77,51.6,39.63,224.86,0
26.69,47.19,38.25,799.57,129.25,0
38.71,42.94,41.74,457.13,26.26,0
16.44,68.44,36.1,129.63,208.17,0
48.92,43.06,38.92,228.61,1054.78,0
75.0,45.19,51.18,1256.58,374.99,0
50.4,34.19,33.43,44.44,366.16,0
41.26,59.29,34.16,748.73,1318.44,0
35.36,46.64,33.39,1321.57,215.29,0
94.55,44.97,43.29,618.11,370.98,1
32.3,39.8,47.19,116.11,57.19,0
19.48,37.14,37.72,218.6,56.16,0
63.83,29.26,43.4,265.55,452.78,0
50.43,28.49,36.34,1140.3,447.77,0
25.89,52.31,50.57,626.93,145.66,0
9.02,44.77,37.02,88.53,77.63,0
30.3,46.61,37.58,132.15,514.58,0
24.44,35.64,32.53,571.19,1700.85,0
32.07,35.64,30.62,752.68,330.43,0
42.94,41.26,33.4,4000.0,105.8,0
34.24,39.52,52.95,320.26,457.72,0
51.66,56.73,24.73,1356.26,114.92,0
30.9,26.12,40.2,796.52,474.29,0
57.8,41.12,44.8,1582.03,220.62,0
48.89,53.14,34.36,286.51,9.06,0
47.53,22.09,30.47,274.28,199.11,0
47.34,45.57,47.79,728.41,373.61,0
36.27,56.11,40.13,570.27,656.79,0
14.46,42.71,34.62,459.06,207.47,0
42.56,39.62,46.39,411.04,194.08,0
34.98,35.88,49.77,394.67,85.75,0
35.5,35.1,29.21,310.58,27.0,0
51.39,52.33,44.59,1863.73,241.13,0
33.11,20.29,30.55,824.69,378.3,0
25.23,14.75,27.57,264.23,424.69,0
28.24,39.13,61.67,448.51,444.63,0
19.16,53.36,42.75,1139.08,339.01,0
39.83,29.46,43.41,1985.99,58.3,0
71.4,58.72,24.16,572.46,134.9,0
62.42,66.99,39.98,1204.39,583.18,0
41.89,24.53,29.92,7.44,1145.53,0
23.57,55.04,38.77,1667.52,325.61,0
34.6,70.0,54.45,49.22,288.41,0
51.56,47.32,35.21,1030.94,1561.03,0
57.83,48.86,31.14,774.79,1704.74,0
30.89,36.32,54.51,134.79,174.25,0
60.6,16.38,52.35,3241.49,327.86,0
30.88,53.0,41.79,278.49,599.78,0
19.06,47.49,30.11,1514.56,8.68,0
38.56,28.14,56.01,692.34,77.36,0
88.4,90.33,96.07,7746.81,2474.15,1
45.92,39.2,41.13,627.75,907.21,0
51.19,10.21,43.37,792.45,327.38,0
54.25,70.0,27.74,3346.1,53.23,0
41.34,51.45,40.46,2821.98,121.17,0
31.75,38.06,38.73,286.67,276.19,0
42.41,33.89,39.22,197.2,17.1,0
44.58,47.72,17.73,1684.69,13.23,0
17.21,35.19,40.49,4000.0,195.52,0
39.53,70.0,27.27,588.98,649.51,0
39.1,33.8,43.34,61.28,96.72,0
6.71,42.03,61.07,940.77,96.64,0
28.28,39.76,36.57,1229.25,242.91,0
26.44,29.11,31.74,791.21,9.88,0
35.65,31.39,35.3,236.71,589.55,0
43.82,52.66,25.38,171.58,455.47,0
27.51,18.32,43.2,137.23,780.37,0
41.59,53.26,29.13,460.59,681.22,0
45.08,54.58,55.36,488.37,348.28,0
37.41,41.89,32.35,3279.41,251.14,0
32.13,20.43,52.21,261.23,47.07,0
54.78,27.18,17.7,466.67,571.82,0
25.53,56.57,39.6,267.51,283.73,0
39.06,29.15,36.75,1221.93,48.5,0
33.0,48.46,43.92,1736.56,9.27,0
22.86,56.11,43.07,904.18,418.48,0
49.52,18.36,23.39,1492.04,1338.5,0
48.04,50.15,26.56,843.13,231.06,0
38.62,50.2,36.0,1325.45,85.33,0
54.4,28.78,20.0,2971.81,336.93,0
56.33,57.09,31.41,154.28,930.8,0
86.72,89.98,99.8,7317.29,4903.58,1
54.63,33.54,44.19,481.99,422.49,0
12.0,46.93,49.67,1888.04,276.25,0
35.79,41.84,45.1,254.24,695.11,0
53.85,51.27,51.01,924.6,152.06,0
39.77,55.78,53.3,266.06,454.44,0
75.0,52.1,41.14,283.87,254.99,0
48.38,59.43,36.07,1050.02,678.34,0
55.44,38.11,30.16,250.73,1075.18,0
35.49,23.92,48.72,110.4,103.83,0
75.0,52.73,49.47,651.8,82.83,0
45.2,51.32,34.75,486.93,261.25,0
65.68,42.75,22.04,289.8,439.24,0
65.87,43.55,38.14,963.94,364.65,0
57.31,33.59,63.44,30.57,373.84,0
29.32,49.11,60.86,155.93,59.3,0
42.97,32.94,45.4,992.25,161.7,0
43.9,55.78,40.28,203.19,141.68,0
6.54,35.04,32.37,59.76,180.73,0
49.33,27.47,39.93,291.58,11.32,0
29.27,52.2,34.67,786.89,780.13,0
48.89,40.7,35.66,208.72,471.83,0
32.39,96.09,29.61,17.68,678.48,1
86.44,82.57,80.62,7027.17,3236.62,1
47.54,46.79,32.19,13.66,68.21,0
52.92,48.41,51.71,11.64,90.11,0
55.4,59.91,49.28,1623.54,207.33,0
52.58,33.86,58.27,102.5,129.01,0
39.43,44.21,15.0,2654.75,314.5,0
59.55,47.25,22.15,3250.39,12.39,0
39.04,29.1,43.52,739.15,344.22,0
56.05,41.43,28.19,65.41,549.85,0
66.98,35.23,26.37,836.85,1087.51,0
42.92,36.01,42.67,42.39,233.28,0
66.48,54.83,47.99,1969.18,1211.34,0
18.5,53.03,51.37,82.8,55.26,0
60.26,33.01,43.15,1141.77,42.86,0
34.04,40.31,37.46,309.36,400.97,0
13.87,26.93,32.73,1038.93,368.55,0
47.73,47.85,33.7,313.04,77.11,0
63.92,53.52,49.04,60.63,1231.43,0
12.52,57.12,57.81,202.55,40.39,0
60.84,45.76,34.8,629.68,45.14,0
59.76,44.3,42.07,1047.46,38.77,0
66.32,58.97,63.98,267.36,82.19,0
26.38,58.24,53.59,2809.36,276.6,0
44.24,98.81,44.78,312.82,229.12,1
44.31,39.17,47.85,159.26,120.82,0
52.74,39.32,39.28,338.38,745.34,0
47.31,53.58,39.46,1174.57,112.4,0
26.79,51.85,41.47,615.69,124.94,0
33.16,44.31,30.24,161.13,172.5,0
62.0,59.15,50.38,964.45,172.61,0
66.97,58.83,43.25,443.85,520.37,0
30.67,43.34,32.96,45.06,352.66,0
17.27,40.52,35.03,1007.85,167.38,0
69.87,32.31,45.67,617.94,334.05,0
39.32,27.15,33.48,2421.65,248.68,0
20.26,39.57,29.49,1004.9,1438.27,0
7.7,39.58,30.8,556.23,294.23,0
55.87,32.76,37.18,2129.34,449.59,0
49.41,31.93,42.42,297.16,2000.0,0
32.27,54.09,47.99,299.51,499.39,0
32.05,46.01,47.7,83.63,552.51,0
36.56,47.58,39.69,170.22,33.69,0
68.64,51.4,53.34,3192.9,2.84,0
42.8,40.39,38.18,601.49,288.03,0
47.75,45.4,52.25,1000.59,111.58,0
48.89,31.13,35.03,69.84,97.33,0
54.07,48.54,34.32,98.38,115.86,0
26.43,42.73,36.79,762.61,33.51,0
52.91,27.22,18.2,723.33,903.01,0
52.45,53.39,31.67,11.58,287.9,0
66.22,42.68,39.59,32.06,508.22,0
28.42,43.32,38.5,333.43,282.84,0
23.2,41.76,33.48,106.85,128.56,0
43.9,55.9,42.26,291.07,48.56,0
45.66,50.51,43.59,1120.59,720.37,0
53.99,70.0,39.77,1314.55,652.59,0
40.32,41.88,49.15,641.31,96.65,0
42.73,59.01,31.58,1193.83,385.78,0
22.19,59.39,30.77,199.49,191.75,0
27.52,48.13,49.94,214.19,77.55,0
44.79,31.81,56.04,994.91,429.15,0
5.0,36.12,50.75,1899.66,554.26,0
56.83,35.1,38.59,2942.73,914.37,0
65.12,47.94,35.87,754.6,138.03,0
39.04,35.21,32.99,65.07,280.44,0
18.67,53.94,40.72,62.09,232.55,0
38.57,43.07,30.4,1872.64,63.72,0
12.0,41.33,26.05,532.4,128.19,0
38.98,39.45,47.38,643.3,476.87,0
26.63,47.14,47.04,157.1,215.85,0
30.13,98.49,45.35,202.01,652.14,1
44.86,49.94,28.14,1165.41,35.64,0
39.06,33.11,32.63,203.21,67.81,0
36.46,51.01,38.0,557.84,22.12,0
43.47,35.99,38.05,90.64,354.33,0
46.7,68.82,48.54,81.46,1421.8,0
27.95,58.35,19.86,27.91,1008.6,0
89.46,42.31,31.56,99.05,159.7,1
41.2,68.91,27.31,718.97,157.88,0
65.1,35.73,17.27,1431.17,445.31,0
41.27,24.74,44.49,335.87,131.36,0
20.76,50.43,40.73,1186.36,125.54,0
28.11,53.58,36.72,1150.77,217.11,0
12.34,56.77,47.64,901.61,183.5,0
49.03,44.71,34.1,436.54,135.98,0
23.66,56.34,43.09,252.69,1138.59,0
43.98,53.73,34.12,610.87,356.42,0
36.79,67.18,45.39,3343.79,199.22,0
18.77,57.35,54.06,29.94,89.26,0
25.56,62.82,58.91,1553.37,147.79,0
5.0,58.65,49.66,174.94,453.91,0
46.84,23.35,44.02,2311.62,23.91,0
26.49,52.64,54.51,103.14,467.67,0
18.54,37.89,44.75,557.93,511.31,0
29.55,54.0,38.87,138.39,1795.1,0
27.16,63.48,36.3,204.8,17.11,0
45.61,48.62,46.79,1208.17,211.35,0
38.88,45.97,53.13,853.72,109.94,0
47.72,43.56,28.93,1510.19,1893.11,0
27.63,37.43,50.9,659.28,0.1,0
31.3,51.44,58.22,1044.08,244.7,0
47.54,42.2,35.65,475.85,189.7,0
57.73,51.2,42.3,567.1,450.77,0
63.38,57.75,37.64,1115.11,195.76,0
43.75,49.07,44.05,168.17,486.79,0
29.58,44.74,46.32,144.29,346.69,0
27.09,38.96,45.27,385.4,12.4,0
26.26,31.51,41.35,965.32,181.16,0
30.61,35.13,40.6,752.51,79.08,0
54.73,46.11,46.56,544.53,66.75,0
37.26,35.75,36.01,1356.73,54.61,0
14.39,39.37,45.84,417.46,13.58,0
45.51,46.38,37.82,1230.69,56.09,0
21.14,43.63,39.14,963.52,25.19,0
46.62,92.13,26.03,2190.01,348.94,1
48.21,35.89,38.45,319.52,440.65,0
33.2,41.9,41.25,2593.02,301.47,0
30.91,42.29,37.63,20.12,820.28,0
30.74,46.09,22.14,1083.09,606.5,0
5.0,31.78,31.51,1875.9,367.89,0
40.52,45.99,43.32,253.74,794.26,0
48.88,46.19,43.69,1277.47,212.69,0
70.2,25.92,45.25,279.79,201.89,0
67.7,50.91,49.18,1277.3,124.92,0
33.2,49.35,58.29,16.11,313.16,0
18.23,57.68,63.68,9.07,15.52,0
55.17,29.57,48.15,269.63,60.69,0
32.52,88.19,32.01,1401.57,158.7,1
29.09,50.42,24.28,401.43,80.65,0
27.86,44.65,34.78,382.24,939.47,0
12.4,56.32,24.94,1389.42,12.19,0
42.23,43.63,25.75,223.73,333.33,0
47.62,42.25,48.42,431.7,424.19,0
49.09,19.97,32.94,182.25,61.73,0
16.53,10.0,44.94,903.16,414.56,0
26.88,95.21,34.14,7.09,1704.51,1
32.01,44.62,41.38,1987.51,1278.28,0
14.45,49.1,56.17,368.4,516.6,0
32.06,48.01,43.3,925.15,663.08,0
10.45,47.94,31.39,1523.6,435.19,0
32.08,37.73,42.74,936.31,382.96,0
52.67,42.74,49.22,238.51,46.09,0
44.45,48.91,36.07,1717.87,382.13,0
56.79,44.88,65.0,164.73,145.85,0
19.3,59.21,36.51,468.52,804.99,0
43.63,45.11,26.84,53.76,22.93,0
35.09,65.45,30.19,1412.23,201.04,0
50.97,33.22,57.56,187.73,185.2,0
85.72,94.92,96.01,6359.17,3326.9,1
49.78,56.72,33.73,469.57,1538.27,0
36.11,11.0,50.69,1936.82,194.07,0
95.79,91.39,86.85,7343.44,4246.67,1
40.42,51.12,40.44,1790.51,183.16,0
29.01,90.08,38.3,667.64,25.0,1
47.61,56.21,38.0,144.04,176.59,0
20.24,48.15,34.14,536.94,145.82,0
33.83,48.37,49.41,1338.73,710.78,0
37.99,42.53,36.63,642.7,171.0,0
44.42,57.56,46.27,163.15,36.41,0
48.69,58.5,34.11,344.89,880.69,0
32.03,69.65,56.4,36.82,262.1,0
14.61,43.12,42.62,484.5,521.97,0
28.79,61.15,28.57,526.35,47.01,0
13.62,23.71,27.5,914.97,124.02,0
44.54,59.06,29.82,321.55,1.8,0
90.39,41.05,30.5,2160.96,224.03,1
39.66,33.91,32.46,1333.31,832.61,0
38.51,27.64,38.86,431.57,717.3,0
50.66,48.65,27.16,65.8,134.67,0
75.0,34.49,31.49,935.6,179.14,0
36.68,34.85,41.83,881.86,1602.41,0
39.03,40.89,37.85,1517.22,108.32,0
28.3,27.94,46.99,1881.17,30.72,0
13.79,50.76,43.38,1712.52,159.42,0
50.2,43.23,24.93,227.55,101.63,0
60.41,38.32,45.47,1396.9,62.66,0
50.47,50.9,36.64,38.06,21.88,0
42.4,70.0,40.71,187.26,201.98,0
46.21,67.56,23.38,339.04,401.34,0
19.39,38.5,36.66,535.48,329.42,0
25.62,41.79,51.73,1138.1,1005.06,0
48.82,61.36,40.09,656.79,71.39,0
6.75,58.55,34.31,290.86,684.73,0
43.35,41.99,45.75,549.4,118.78,0
40.01,49.12,52.59,114.05,391.41,0
19.9,67.75,48.96,116.02,201.48,0
71.13,44.68,46.12,8.64,588.36,0
37.71,47.23,36.63,1383.69,232.56,0
66.93,35.93,44.41,1347.82,786.44,0
43.36,49.71,43.24,329.17,191.5,0
29.35,53.64,41.02,405.25,111.57,0
37.14,45.78,56.79,357.6,632.11,0
20.69,43.64,27.48,518.62,967.63,0
26.52,56.74,34.51,136.32,119.06,0
32.33,43.83,37.14,151.72,352.04,0
56.88,41.43,51.12,507.27,1254.78,0
62.64,45.24,38.06,716.56,48.37,0
5.0,42.11,34.16,800.69,101.61,0
58.79,52.43,35.79,872.69,848.91,0
